DateKey,Date,Day,WeekNumber,Month,MonthShort,MonthNumber,Quater,Year
20190515,5/15/2019,Wednesday,20,May,May,5,2,2019
20190516,5/16/2019,Thursday,20,May,May,5,2,2019
20190517,5/17/2019,Friday,20,May,May,5,2,2019
20190518,5/18/2019,Saturday,20,May,May,5,2,2019
20190519,5/19/2019,Sunday,21,May,May,5,2,2019
20190520,5/20/2019,Monday,21,May,May,5,2,2019
20190521,5/21/2019,Tuesday,21,May,May,5,2,2019
20190522,5/22/2019,Wednesday,21,May,May,5,2,2019
20190523,5/23/2019,Thursday,21,May,May,5,2,2019
20190524,5/24/2019,Friday,21,May,May,5,2,2019
20190525,5/25/2019,Saturday,21,May,May,5,2,2019
20190526,5/26/2019,Sunday,22,May,May,5,2,2019
20190527,5/27/2019,Monday,22,May,May,5,2,2019
20190528,5/28/2019,Tuesday,22,May,May,5,2,2019
20190529,5/29/2019,Wednesday,22,May,May,5,2,2019
20190530,5/30/2019,Thursday,22,May,May,5,2,2019
20190531,5/31/2019,Friday,22,May,May,5,2,2019
20190601,6/1/2019,Saturday,22,June,Jun,6,2,2019
20190602,6/2/2019,Sunday,23,June,Jun,6,2,2019
20190603,6/3/2019,Monday,23,June,Jun,6,2,2019
20190604,6/4/2019,Tuesday,23,June,Jun,6,2,2019
20190605,6/5/2019,Wednesday,23,June,Jun,6,2,2019
20190606,6/6/2019,Thursday,23,June,Jun,6,2,2019
20190607,6/7/2019,Friday,23,June,Jun,6,2,2019
20190608,6/8/2019,Saturday,23,June,Jun,6,2,2019
20190609,6/9/2019,Sunday,24,June,Jun,6,2,2019
20190610,6/10/2019,Monday,24,June,Jun,6,2,2019
20190611,6/11/2019,Tuesday,24,June,Jun,6,2,2019
20190612,6/12/2019,Wednesday,24,June,Jun,6,2,2019
20190613,6/13/2019,Thursday,24,June,Jun,6,2,2019
20190614,6/14/2019,Friday,24,June,Jun,6,2,2019
20190615,6/15/2019,Saturday,24,June,Jun,6,2,2019
20190616,6/16/2019,Sunday,25,June,Jun,6,2,2019
20190617,6/17/2019,Monday,25,June,Jun,6,2,2019
20190618,6/18/2019,Tuesday,25,June,Jun,6,2,2019
20190619,6/19/2019,Wednesday,25,June,Jun,6,2,2019
20190620,6/20/2019,Thursday,25,June,Jun,6,2,2019
20190621,6/21/2019,Friday,25,June,Jun,6,2,2019
20190622,6/22/2019,Saturday,25,June,Jun,6,2,2019
20190623,6/23/2019,Sunday,26,June,Jun,6,2,2019
20190624,6/24/2019,Monday,26,June,Jun,6,2,2019
20190625,6/25/2019,Tuesday,26,June,Jun,6,2,2019
20190626,6/26/2019,Wednesday,26,June,Jun,6,2,2019
20190627,6/27/2019,Thursday,26,June,Jun,6,2,2019
20190628,6/28/2019,Friday,26,June,Jun,6,2,2019
20190629,6/29/2019,Saturday,26,June,Jun,6,2,2019
20190630,6/30/2019,Sunday,27,June,Jun,6,2,2019
20190701,7/1/2019,Monday,27,July,Jul,7,3,2019
20190702,7/2/2019,Tuesday,27,July,Jul,7,3,2019
20190703,7/3/2019,Wednesday,27,July,Jul,7,3,2019
20190704,7/4/2019,Thursday,27,July,Jul,7,3,2019
20190705,7/5/2019,Friday,27,July,Jul,7,3,2019
20190706,7/6/2019,Saturday,27,July,Jul,7,3,2019
20190707,7/7/2019,Sunday,28,July,Jul,7,3,2019
20190708,7/8/2019,Monday,28,July,Jul,7,3,2019
20190709,7/9/2019,Tuesday,28,July,Jul,7,3,2019
20190710,7/10/2019,Wednesday,28,July,Jul,7,3,2019
20190711,7/11/2019,Thursday,28,July,Jul,7,3,2019
20190712,7/12/2019,Friday,28,July,Jul,7,3,2019
20190713,7/13/2019,Saturday,28,July,Jul,7,3,2019
20190714,7/14/2019,Sunday,29,July,Jul,7,3,2019
20190715,7/15/2019,Monday,29,July,Jul,7,3,2019
20190716,7/16/2019,Tuesday,29,July,Jul,7,3,2019
20190717,7/17/2019,Wednesday,29,July,Jul,7,3,2019
20190718,7/18/2019,Thursday,29,July,Jul,7,3,2019
20190719,7/19/2019,Friday,29,July,Jul,7,3,2019
20190720,7/20/2019,Saturday,29,July,Jul,7,3,2019
20190721,7/21/2019,Sunday,30,July,Jul,7,3,2019
20190722,7/22/2019,Monday,30,July,Jul,7,3,2019
20190723,7/23/2019,Tuesday,30,July,Jul,7,3,2019
20190724,7/24/2019,Wednesday,30,July,Jul,7,3,2019
20190725,7/25/2019,Thursday,30,July,Jul,7,3,2019
20190726,7/26/2019,Friday,30,July,Jul,7,3,2019
20190727,7/27/2019,Saturday,30,July,Jul,7,3,2019
20190728,7/28/2019,Sunday,31,July,Jul,7,3,2019
20190729,7/29/2019,Monday,31,July,Jul,7,3,2019
20190730,7/30/2019,Tuesday,31,July,Jul,7,3,2019
20190731,7/31/2019,Wednesday,31,July,Jul,7,3,2019
20190801,8/1/2019,Thursday,31,August,Aug,8,3,2019
20190802,8/2/2019,Friday,31,August,Aug,8,3,2019
20190803,8/3/2019,Saturday,31,August,Aug,8,3,2019
20190804,8/4/2019,Sunday,32,August,Aug,8,3,2019
20190805,8/5/2019,Monday,32,August,Aug,8,3,2019
20190806,8/6/2019,Tuesday,32,August,Aug,8,3,2019
20190807,8/7/2019,Wednesday,32,August,Aug,8,3,2019
20190808,8/8/2019,Thursday,32,August,Aug,8,3,2019
20190809,8/9/2019,Friday,32,August,Aug,8,3,2019
20190810,8/10/2019,Saturday,32,August,Aug,8,3,2019
20190811,8/11/2019,Sunday,33,August,Aug,8,3,2019
20190812,8/12/2019,Monday,33,August,Aug,8,3,2019
20190813,8/13/2019,Tuesday,33,August,Aug,8,3,2019
20190814,8/14/2019,Wednesday,33,August,Aug,8,3,2019
20190815,8/15/2019,Thursday,33,August,Aug,8,3,2019
20190816,8/16/2019,Friday,33,August,Aug,8,3,2019
20190817,8/17/2019,Saturday,33,August,Aug,8,3,2019
20190818,8/18/2019,Sunday,34,August,Aug,8,3,2019
20190819,8/19/2019,Monday,34,August,Aug,8,3,2019
20190820,8/20/2019,Tuesday,34,August,Aug,8,3,2019
20190821,8/21/2019,Wednesday,34,August,Aug,8,3,2019
20190822,8/22/2019,Thursday,34,August,Aug,8,3,2019
20190823,8/23/2019,Friday,34,August,Aug,8,3,2019
20190824,8/24/2019,Saturday,34,August,Aug,8,3,2019
20190825,8/25/2019,Sunday,35,August,Aug,8,3,2019
20190826,8/26/2019,Monday,35,August,Aug,8,3,2019
20190827,8/27/2019,Tuesday,35,August,Aug,8,3,2019
20190828,8/28/2019,Wednesday,35,August,Aug,8,3,2019
20190829,8/29/2019,Thursday,35,August,Aug,8,3,2019
20190830,8/30/2019,Friday,35,August,Aug,8,3,2019
20190831,8/31/2019,Saturday,35,August,Aug,8,3,2019
20190901,9/1/2019,Sunday,36,September,Sep,9,3,2019
20190902,9/2/2019,Monday,36,September,Sep,9,3,2019
20190903,9/3/2019,Tuesday,36,September,Sep,9,3,2019
20190904,9/4/2019,Wednesday,36,September,Sep,9,3,2019
20190905,9/5/2019,Thursday,36,September,Sep,9,3,2019
20190906,9/6/2019,Friday,36,September,Sep,9,3,2019
20190907,9/7/2019,Saturday,36,September,Sep,9,3,2019
20190908,9/8/2019,Sunday,37,September,Sep,9,3,2019
20190909,9/9/2019,Monday,37,September,Sep,9,3,2019
20190910,9/10/2019,Tuesday,37,September,Sep,9,3,2019
20190911,9/11/2019,Wednesday,37,September,Sep,9,3,2019
20190912,9/12/2019,Thursday,37,September,Sep,9,3,2019
20190913,9/13/2019,Friday,37,September,Sep,9,3,2019
20190914,9/14/2019,Saturday,37,September,Sep,9,3,2019
20190915,9/15/2019,Sunday,38,September,Sep,9,3,2019
20190916,9/16/2019,Monday,38,September,Sep,9,3,2019
20190917,9/17/2019,Tuesday,38,September,Sep,9,3,2019
20190918,9/18/2019,Wednesday,38,September,Sep,9,3,2019
20190919,9/19/2019,Thursday,38,September,Sep,9,3,2019
20190920,9/20/2019,Friday,38,September,Sep,9,3,2019
20190921,9/21/2019,Saturday,38,September,Sep,9,3,2019
20190922,9/22/2019,Sunday,39,September,Sep,9,3,2019
20190923,9/23/2019,Monday,39,September,Sep,9,3,2019
20190924,9/24/2019,Tuesday,39,September,Sep,9,3,2019
20190925,9/25/2019,Wednesday,39,September,Sep,9,3,2019
20190926,9/26/2019,Thursday,39,September,Sep,9,3,2019
20190927,9/27/2019,Friday,39,September,Sep,9,3,2019
20190928,9/28/2019,Saturday,39,September,Sep,9,3,2019
20190929,9/29/2019,Sunday,40,September,Sep,9,3,2019
20190930,9/30/2019,Monday,40,September,Sep,9,3,2019
20191001,10/1/2019,Tuesday,40,October,Oct,10,4,2019
20191002,10/2/2019,Wednesday,40,October,Oct,10,4,2019
20191003,10/3/2019,Thursday,40,October,Oct,10,4,2019
20191004,10/4/2019,Friday,40,October,Oct,10,4,2019
20191005,10/5/2019,Saturday,40,October,Oct,10,4,2019
20191006,10/6/2019,Sunday,41,October,Oct,10,4,2019
20191007,10/7/2019,Monday,41,October,Oct,10,4,2019
20191008,10/8/2019,Tuesday,41,October,Oct,10,4,2019
20191009,10/9/2019,Wednesday,41,October,Oct,10,4,2019
20191010,10/10/2019,Thursday,41,October,Oct,10,4,2019
20191011,10/11/2019,Friday,41,October,Oct,10,4,2019
20191012,10/12/2019,Saturday,41,October,Oct,10,4,2019
20191013,10/13/2019,Sunday,42,October,Oct,10,4,2019
20191014,10/14/2019,Monday,42,October,Oct,10,4,2019
20191015,10/15/2019,Tuesday,42,October,Oct,10,4,2019
20191016,10/16/2019,Wednesday,42,October,Oct,10,4,2019
20191017,10/17/2019,Thursday,42,October,Oct,10,4,2019
20191018,10/18/2019,Friday,42,October,Oct,10,4,2019
20191019,10/19/2019,Saturday,42,October,Oct,10,4,2019
20191020,10/20/2019,Sunday,43,October,Oct,10,4,2019
20191021,10/21/2019,Monday,43,October,Oct,10,4,2019
20191022,10/22/2019,Tuesday,43,October,Oct,10,4,2019
20191023,10/23/2019,Wednesday,43,October,Oct,10,4,2019
20191024,10/24/2019,Thursday,43,October,Oct,10,4,2019
20191025,10/25/2019,Friday,43,October,Oct,10,4,2019
20191026,10/26/2019,Saturday,43,October,Oct,10,4,2019
20191027,10/27/2019,Sunday,44,October,Oct,10,4,2019
20191028,10/28/2019,Monday,44,October,Oct,10,4,2019
20191029,10/29/2019,Tuesday,44,October,Oct,10,4,2019
20191030,10/30/2019,Wednesday,44,October,Oct,10,4,2019
20191031,10/31/2019,Thursday,44,October,Oct,10,4,2019
20191101,11/1/2019,Friday,44,November,Nov,11,4,2019
20191102,11/2/2019,Saturday,44,November,Nov,11,4,2019
20191103,11/3/2019,Sunday,45,November,Nov,11,4,2019
20191104,11/4/2019,Monday,45,November,Nov,11,4,2019
20191105,11/5/2019,Tuesday,45,November,Nov,11,4,2019
20191106,11/6/2019,Wednesday,45,November,Nov,11,4,2019
20191107,11/7/2019,Thursday,45,November,Nov,11,4,2019
20191108,11/8/2019,Friday,45,November,Nov,11,4,2019
20191109,11/9/2019,Saturday,45,November,Nov,11,4,2019
20191110,11/10/2019,Sunday,46,November,Nov,11,4,2019
20191111,11/11/2019,Monday,46,November,Nov,11,4,2019
20191112,11/12/2019,Tuesday,46,November,Nov,11,4,2019
20191113,11/13/2019,Wednesday,46,November,Nov,11,4,2019
20191114,11/14/2019,Thursday,46,November,Nov,11,4,2019
20191115,11/15/2019,Friday,46,November,Nov,11,4,2019
20191116,11/16/2019,Saturday,46,November,Nov,11,4,2019
20191117,11/17/2019,Sunday,47,November,Nov,11,4,2019
20191118,11/18/2019,Monday,47,November,Nov,11,4,2019
20191119,11/19/2019,Tuesday,47,November,Nov,11,4,2019
20191120,11/20/2019,Wednesday,47,November,Nov,11,4,2019
20191121,11/21/2019,Thursday,47,November,Nov,11,4,2019
20191122,11/22/2019,Friday,47,November,Nov,11,4,2019
20191123,11/23/2019,Saturday,47,November,Nov,11,4,2019
20191124,11/24/2019,Sunday,48,November,Nov,11,4,2019
20191125,11/25/2019,Monday,48,November,Nov,11,4,2019
20191126,11/26/2019,Tuesday,48,November,Nov,11,4,2019
20191127,11/27/2019,Wednesday,48,November,Nov,11,4,2019
20191128,11/28/2019,Thursday,48,November,Nov,11,4,2019
20191129,11/29/2019,Friday,48,November,Nov,11,4,2019
20191130,11/30/2019,Saturday,48,November,Nov,11,4,2019
20191201,12/1/2019,Sunday,49,December,Dec,12,4,2019
20191202,12/2/2019,Monday,49,December,Dec,12,4,2019
20191203,12/3/2019,Tuesday,49,December,Dec,12,4,2019
20191204,12/4/2019,Wednesday,49,December,Dec,12,4,2019
20191205,12/5/2019,Thursday,49,December,Dec,12,4,2019
20191206,12/6/2019,Friday,49,December,Dec,12,4,2019
20191207,12/7/2019,Saturday,49,December,Dec,12,4,2019
20191208,12/8/2019,Sunday,50,December,Dec,12,4,2019
20191209,12/9/2019,Monday,50,December,Dec,12,4,2019
20191210,12/10/2019,Tuesday,50,December,Dec,12,4,2019
20191211,12/11/2019,Wednesday,50,December,Dec,12,4,2019
20191212,12/12/2019,Thursday,50,December,Dec,12,4,2019
20191213,12/13/2019,Friday,50,December,Dec,12,4,2019
20191214,12/14/2019,Saturday,50,December,Dec,12,4,2019
20191215,12/15/2019,Sunday,51,December,Dec,12,4,2019
20191216,12/16/2019,Monday,51,December,Dec,12,4,2019
20191217,12/17/2019,Tuesday,51,December,Dec,12,4,2019
20191218,12/18/2019,Wednesday,51,December,Dec,12,4,2019
20191219,12/19/2019,Thursday,51,December,Dec,12,4,2019
20191220,12/20/2019,Friday,51,December,Dec,12,4,2019
20191221,12/21/2019,Saturday,51,December,Dec,12,4,2019
20191222,12/22/2019,Sunday,52,December,Dec,12,4,2019
20191223,12/23/2019,Monday,52,December,Dec,12,4,2019
20191224,12/24/2019,Tuesday,52,December,Dec,12,4,2019
20191225,12/25/2019,Wednesday,52,December,Dec,12,4,2019
20191226,12/26/2019,Thursday,52,December,Dec,12,4,2019
20191227,12/27/2019,Friday,52,December,Dec,12,4,2019
20191228,12/28/2019,Saturday,52,December,Dec,12,4,2019
20191229,12/29/2019,Sunday,53,December,Dec,12,4,2019
20191230,12/30/2019,Monday,53,December,Dec,12,4,2019
20191231,12/31/2019,Tuesday,53,December,Dec,12,4,2019
20200101,1/1/2020,Wednesday,1,January,Jan,1,1,2020
20200102,1/2/2020,Thursday,1,January,Jan,1,1,2020
20200103,1/3/2020,Friday,1,January,Jan,1,1,2020
20200104,1/4/2020,Saturday,1,January,Jan,1,1,2020
20200105,1/5/2020,Sunday,2,January,Jan,1,1,2020
20200106,1/6/2020,Monday,2,January,Jan,1,1,2020
20200107,1/7/2020,Tuesday,2,January,Jan,1,1,2020
20200108,1/8/2020,Wednesday,2,January,Jan,1,1,2020
20200109,1/9/2020,Thursday,2,January,Jan,1,1,2020
20200110,1/10/2020,Friday,2,January,Jan,1,1,2020
20200111,1/11/2020,Saturday,2,January,Jan,1,1,2020
20200112,1/12/2020,Sunday,3,January,Jan,1,1,2020
20200113,1/13/2020,Monday,3,January,Jan,1,1,2020
20200114,1/14/2020,Tuesday,3,January,Jan,1,1,2020
20200115,1/15/2020,Wednesday,3,January,Jan,1,1,2020
20200116,1/16/2020,Thursday,3,January,Jan,1,1,2020
20200117,1/17/2020,Friday,3,January,Jan,1,1,2020
20200118,1/18/2020,Saturday,3,January,Jan,1,1,2020
20200119,1/19/2020,Sunday,4,January,Jan,1,1,2020
20200120,1/20/2020,Monday,4,January,Jan,1,1,2020
20200121,1/21/2020,Tuesday,4,January,Jan,1,1,2020
20200122,1/22/2020,Wednesday,4,January,Jan,1,1,2020
20200123,1/23/2020,Thursday,4,January,Jan,1,1,2020
20200124,1/24/2020,Friday,4,January,Jan,1,1,2020
20200125,1/25/2020,Saturday,4,January,Jan,1,1,2020
20200126,1/26/2020,Sunday,5,January,Jan,1,1,2020
20200127,1/27/2020,Monday,5,January,Jan,1,1,2020
20200128,1/28/2020,Tuesday,5,January,Jan,1,1,2020
20200129,1/29/2020,Wednesday,5,January,Jan,1,1,2020
20200130,1/30/2020,Thursday,5,January,Jan,1,1,2020
20200131,1/31/2020,Friday,5,January,Jan,1,1,2020
20200201,2/1/2020,Saturday,5,February,Feb,2,1,2020
20200202,2/2/2020,Sunday,6,February,Feb,2,1,2020
20200203,2/3/2020,Monday,6,February,Feb,2,1,2020
20200204,2/4/2020,Tuesday,6,February,Feb,2,1,2020
20200205,2/5/2020,Wednesday,6,February,Feb,2,1,2020
20200206,2/6/2020,Thursday,6,February,Feb,2,1,2020
20200207,2/7/2020,Friday,6,February,Feb,2,1,2020
20200208,2/8/2020,Saturday,6,February,Feb,2,1,2020
20200209,2/9/2020,Sunday,7,February,Feb,2,1,2020
20200210,2/10/2020,Monday,7,February,Feb,2,1,2020
20200211,2/11/2020,Tuesday,7,February,Feb,2,1,2020
20200212,2/12/2020,Wednesday,7,February,Feb,2,1,2020
20200213,2/13/2020,Thursday,7,February,Feb,2,1,2020
20200214,2/14/2020,Friday,7,February,Feb,2,1,2020
20200215,2/15/2020,Saturday,7,February,Feb,2,1,2020
20200216,2/16/2020,Sunday,8,February,Feb,2,1,2020
20200217,2/17/2020,Monday,8,February,Feb,2,1,2020
20200218,2/18/2020,Tuesday,8,February,Feb,2,1,2020
20200219,2/19/2020,Wednesday,8,February,Feb,2,1,2020
20200220,2/20/2020,Thursday,8,February,Feb,2,1,2020
20200221,2/21/2020,Friday,8,February,Feb,2,1,2020
20200222,2/22/2020,Saturday,8,February,Feb,2,1,2020
20200223,2/23/2020,Sunday,9,February,Feb,2,1,2020
20200224,2/24/2020,Monday,9,February,Feb,2,1,2020
20200225,2/25/2020,Tuesday,9,February,Feb,2,1,2020
20200226,2/26/2020,Wednesday,9,February,Feb,2,1,2020
20200227,2/27/2020,Thursday,9,February,Feb,2,1,2020
20200228,2/28/2020,Friday,9,February,Feb,2,1,2020
20200229,2/29/2020,Saturday,9,February,Feb,2,1,2020
20200301,3/1/2020,Sunday,10,March,Mar,3,1,2020
20200302,3/2/2020,Monday,10,March,Mar,3,1,2020
20200303,3/3/2020,Tuesday,10,March,Mar,3,1,2020
20200304,3/4/2020,Wednesday,10,March,Mar,3,1,2020
20200305,3/5/2020,Thursday,10,March,Mar,3,1,2020
20200306,3/6/2020,Friday,10,March,Mar,3,1,2020
20200307,3/7/2020,Saturday,10,March,Mar,3,1,2020
20200308,3/8/2020,Sunday,11,March,Mar,3,1,2020
20200309,3/9/2020,Monday,11,March,Mar,3,1,2020
20200310,3/10/2020,Tuesday,11,March,Mar,3,1,2020
20200311,3/11/2020,Wednesday,11,March,Mar,3,1,2020
20200312,3/12/2020,Thursday,11,March,Mar,3,1,2020
20200313,3/13/2020,Friday,11,March,Mar,3,1,2020
20200314,3/14/2020,Saturday,11,March,Mar,3,1,2020
20200315,3/15/2020,Sunday,12,March,Mar,3,1,2020
20200316,3/16/2020,Monday,12,March,Mar,3,1,2020
20200317,3/17/2020,Tuesday,12,March,Mar,3,1,2020
20200318,3/18/2020,Wednesday,12,March,Mar,3,1,2020
20200319,3/19/2020,Thursday,12,March,Mar,3,1,2020
20200320,3/20/2020,Friday,12,March,Mar,3,1,2020
20200321,3/21/2020,Saturday,12,March,Mar,3,1,2020
20200322,3/22/2020,Sunday,13,March,Mar,3,1,2020
20200323,3/23/2020,Monday,13,March,Mar,3,1,2020
20200324,3/24/2020,Tuesday,13,March,Mar,3,1,2020
20200325,3/25/2020,Wednesday,13,March,Mar,3,1,2020
